"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2492","Help link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","2685","Search returns results for ""wiki""","chromium","2026-05-15","passed","2026-05-15","TC002: Search works","search.spec.js","",""
"","2494","Home link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","2059","Search field is visible","chromium","2026-05-15","passed","2026-05-15","TC002: Search works","search.spec.js","",""
"","2490","Register link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","2472","Projects link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","2283","All columns are visible","chromium","2026-05-15","passed","2026-05-15","TC004: Issues page displays correct columns","issues.spec.js","",""
"","2346","Issues page is displayed","chromium","2026-05-15","passed","2026-05-15","TC004: Issues page displays correct columns","issues.spec.js","",""
"","2052","Sign in page is displayed","chromium","2026-05-15","passed","2026-05-15","TC003: Sign in with empty fields shows error","login.spec.js","",""
"","2577","Sign in link is visible and clickable","chromium","2026-05-15","passed","2026-05-15","TC001: Navigation links are visible and clickable","navigation.spec.js","",""
"","2137","All sections are visible","chromium","2026-05-15","passed","2026-05-15","TC005: Wiki page displays correct sections","wiki.spec.js","",""
"","2305","Empty fields show error message","chromium","2026-05-15","passed","2026-05-15","TC003: Sign in with empty fields shows error","login.spec.js","",""
